0.075465	-24.862888 0.772029 0.427423 0.585715 0.094168 0.613670 0.486540 0.459512 0.306489 0.730605 0.246352 0.001566 0.146165 
0.081270	-24.715681 1.662389 0.284865 0.337979 -0.239900 0.390301 0.156283 -0.197352 0.066626 0.339774 0.183589 -0.085015 0.107556 
0.087075	-24.999117 1.232008 0.660640 0.824560 -0.173171 0.296996 0.144395 -0.119788 0.534347 0.320050 0.350792 0.139020 0.319188 
0.092880	-24.912540 0.993593 0.394011 0.935792 0.040939 0.217700 -0.108344 -0.459478 0.062106 0.726120 0.482746 0.226242 0.035438 
0.098685	-24.201403 1.371085 0.282581 0.676132 0.181951 0.366508 -0.068319 0.157504 0.393968 0.365639 -0.151188 -0.424744 -0.446180 
0.104490	-23.512505 2.125116 0.325535 1.219128 0.241962 0.273199 -0.163421 0.223718 0.288044 0.094591 -0.105735 0.103198 -0.045719 
0.110295	-24.937595 1.205696 0.321706 0.990409 0.396809 0.055875 0.347666 0.022372 0.237408 0.551024 0.271284 0.230886 -0.158183 
0.116100	-24.983093 0.841481 0.053517 0.447287 -0.239663 0.457066 -0.376597 -0.454427 0.208521 0.158844 -0.045123 -0.112238 -0.344384 
0.121905	-24.517910 1.358721 0.360582 0.693100 0.283320 0.456390 0.076048 -0.111241 0.362665 0.256128 -0.261573 0.081524 -0.152520 
0.127710	-24.557510 1.514820 0.340494 0.337855 0.054987 0.616818 0.290280 0.167510 0.476514 0.186419 0.508041 0.374061 0.140954 
0.133515	-24.443094 1.437730 0.335534 0.793071 -0.142994 0.044563 0.061301 -0.199245 0.398418 0.176392 -0.005821 -0.045201 -0.626859 
0.139320	-24.002232 0.531960 0.003808 0.697360 -0.754447 0.630990 0.346571 -0.049911 0.273773 0.100871 0.366877 0.450520 0.100048 
0.145125	-24.830940 0.244344 0.227085 0.567226 0.141912 0.486366 0.205921 0.444789 0.346332 0.185918 -0.436772 -0.118894 -0.411384 
0.150930	-24.263939 1.388132 0.264666 0.519723 -0.210728 0.455658 0.168650 0.500714 0.578374 0.082264 0.173214 0.136908 -0.044935 
0.156735	-23.706924 0.394853 0.377741 1.895786 -0.180837 0.297819 -0.019908 0.046814 0.230122 0.248637 -0.229654 0.025088 0.294906 
0.162540	-22.186672 -0.422339 0.229582 1.770246 -0.422644 0.607647 -1.099985 0.550937 -0.305134 -0.193453 -0.772243 0.075555 1.093460 
0.168345	-23.406263 0.556924 -0.214440 0.659082 -0.076942 0.474812 -0.094453 0.317895 0.475140 0.851328 -0.111094 -0.253469 0.353197 
0.174150	-24.233200 0.860764 0.040229 0.569972 0.430878 0.918447 0.142309 0.684379 0.532150 0.759897 0.327177 -0.017969 0.034436 
0.179955	-23.774796 1.220612 0.026912 0.253298 0.185263 0.397295 -0.210380 0.145797 0.453877 0.273113 0.313085 0.173512 -0.139946 
0.185760	-23.964302 1.627209 0.542097 0.158669 0.194041 0.763054 0.158630 0.119197 0.434455 0.135001 -0.208883 0.183521 -0.374957 
0.191565	-24.905128 0.673363 0.487683 0.685590 -0.018184 1.502043 0.956671 0.117343 -0.506282 0.061785 0.576344 0.210371 -0.582054 
0.197370	-24.054180 1.251541 0.235843 0.856042 -0.025429 0.675766 0.582288 0.106986 -0.212137 0.283614 0.228037 0.589278 -0.138769 
0.203175	-22.657776 0.857728 0.010366 0.556809 0.215712 0.858698 0.233271 -0.063289 0.142340 0.196766 0.115525 0.460413 0.234152 
0.208980	-20.660603 0.272943 -0.009761 0.352084 0.802875 1.431314 -0.009148 -0.506744 0.287105 0.150653 -0.573460 -0.243681 -0.611424 
0.214785	-22.727112 0.076155 0.140980 0.411948 0.407234 1.031782 -0.358129 0.033319 0.236429 0.012544 -0.352666 0.180130 -0.014384 
0.220590	-23.174452 1.089573 0.307596 0.989531 0.885016 1.051376 -0.013720 -0.486595 0.200480 0.150571 -0.436587 -0.214250 0.224807 
0.226395	-24.158613 1.312564 0.515020 0.500863 0.670294 0.708819 -0.437717 -0.672126 0.294692 0.269752 -0.387214 -0.317566 0.036064 
0.232200	-24.255672 1.240188 0.316803 1.013168 0.022493 0.039603 -0.269249 0.087854 0.226711 0.083812 -0.524410 -0.472896 -0.200174 
0.238005	-23.879885 1.144815 0.172040 1.043158 0.155462 0.398381 -0.231494 -0.364722 -0.061502 0.110061 0.150693 -0.072697 0.033074 
0.243810	-24.132059 0.870312 0.262487 1.015191 0.163653 0.027531 -0.092376 -0.091530 0.172140 0.400378 0.016282 0.144148 0.173417 
0.249615	-24.371130 0.871876 -0.640968 0.263375 0.036884 0.476629 0.277186 0.229057 0.620434 -0.098957 -0.338166 0.330271 -0.083167 
0.255419	-23.955463 1.518345 0.303532 0.318053 0.725119 0.581947 -0.677495 0.458147 1.014492 0.056527 0.333271 0.178260 0.173469 
0.261224	-24.432556 0.677029 -0.583035 0.161522 0.025861 0.570933 -0.440168 -0.221282 0.002175 -0.569867 -0.580976 -0.077199 0.218713 
